DevType,Total,C#,C++,HTML/CSS,JavaScript,Python,Bash/Shell,SQL,Julia,Java,R,VBA,Rust,TypeScript,C,PHP,MATLAB,Scala,Go,Kotlin,Dart,Elixir,Erlang,Assembly,Perl,PowerShell,SAS,Haskell,OCaml,Swift,Clojure,LISP,Solidity,Groovy,Lua,Ruby,Fortran,APL,F#,Objective-C,nan,COBOL,Delphi,Crystal
Data scientist or machine learning specialist,3424,594,994,1381,1536,2975,1269,1970,258,864,927,232,343,638,743,462,407,217,366,232,169,76,58,214,139,441,127,119,51,145,88,102,90,109,144,168,102,59,58,90,14,48,105,43
"Developer, front-end",15915,4789,2669,12068,13853,5500,3993,8346,103,4580,430,771,1042,8888,2222,4668,452,255,1419,1364,1349,299,125,602,333,2033,134,258,82,849,187,140,315,386,541,926,108,116,173,441,73,127,723,87
"Engineer, data",3600,857,806,1572,1934,2601,1477,2428,140,1187,450,360,339,919,722,634,285,391,494,282,178,92,75,239,187,582,78,88,45,143,117,102,75,156,155,236,106,71,65,106,15,66,214,62
"Engineer, site reliability",1947,457,415,954,1253,1249,1162,1134,47,678,103,117,272,686,431,506,86,110,679,181,111,113,86,149,174,411,36,73,33,93,66,66,64,194,158,303,50,58,48,64,12,45,83,51
"Developer, full-stack",28701,10113,4836,20395,24265,11557,8402,17824,222,9483,889,1387,2200,14887,4015,8150,818,629,3181,2458,2123,807,283,1098,667,4241,164,489,132,1255,505,296,536,987,956,2298,178,153,361,654,109,179,994,157
"Developer, back-end",26595,8475,5132,13928,17557,11964,8640,15913,230,9863,818,1194,2524,9730,4271,6400,758,1010,3963,2533,1561,782,375,1130,771,3524,126,535,135,972,560,309,460,1194,976,1929,200,149,352,535,93,222,1029,173
"Developer, desktop or enterprise applications",9546,4740,3012,4941,5704,3817,2689,5708,97,3269,298,893,790,2961,2231,1936,408,206,848,805,614,126,90,659,303,1922,68,171,60,492,134,145,121,358,405,374,156,104,200,351,43,165,1401,108
"Developer, QA or test",3096,1107,722,1932,2262,1526,1241,1942,45,1232,137,245,291,1203,640,849,145,113,428,363,230,77,49,207,166,658,45,82,44,175,60,68,69,257,180,267,52,67,59,119,16,53,181,54
Student,5595,1692,2168,3600,3919,3688,1768,2839,161,2622,482,273,761,1942,1998,1438,538,161,657,707,660,99,62,688,106,750,74,321,89,292,77,122,162,122,359,259,92,86,89,111,78,57,82,49
"Developer, mobile",7634,2391,1685,4058,4888,2606,1669,3555,68,3280,212,363,462,2959,1440,2012,283,127,672,2250,1819,151,78,402,157,775,73,130,50,1833,104,88,178,321,261,486,70,95,94,960,33,87,504,71
Educator,2090,576,594,1288,1412,1169,781,1139,104,743,233,171,223,703,543,565,172,76,261,226,167,65,47,197,107,313,46,104,52,164,74,86,57,94,132,171,73,58,59,89,22,51,133,32
Engineering manager,3574,1073,685,1925,2524,1653,1371,2084,73,1107,164,184,369,1558,597,837,137,171,666,352,253,201,108,210,166,567,45,93,48,289,110,80,91,212,172,439,60,56,82,180,18,53,169,45
Database administrator,4934,1857,989,3240,3646,2286,1863,3938,75,1504,277,576,404,1718,913,1822,187,134,662,397,361,151,94,323,288,1073,81,107,44,246,89,98,108,168,268,361,85,82,79,148,20,85,510,85
Academic researcher,2709,502,1043,1159,1252,2013,1051,1050,336,815,598,144,380,533,900,460,467,114,283,212,158,65,51,286,140,285,61,156,78,130,68,114,76,71,150,152,184,89,50,85,30,43,133,38
DevOps specialist,6170,2061,1144,3454,4284,3455,3385,3745,80,2213,232,316,709,2597,1030,1482,199,255,1438,627,393,212,128,297,324,1547,49,161,52,285,130,134,124,630,316,608,69,74,114,175,26,70,169,68
Other (please specify):,2618,625,591,1294,1471,1344,888,1209,74,760,185,221,239,632,534,464,137,91,264,210,116,51,42,188,107,378,36,68,35,138,51,72,49,111,128,145,53,51,41,80,77,41,98,29
"Developer, embedded applications or devices",3923,1386,2175,1790,2077,2267,1617,1761,82,1241,149,299,633,1015,2092,833,347,102,467,436,307,91,68,664,196,631,46,118,54,292,62,119,71,165,286,221,81,77,67,236,21,72,407,52
"Developer, game or graphics",1837,983,919,1000,1159,918,560,752,48,604,85,100,314,636,635,467,105,59,234,236,181,62,52,229,75,308,34,68,39,186,48,61,69,72,239,128,45,58,54,153,15,42,123,42
Project manager,3897,1385,953,2538,2884,1722,1325,2564,83,1185,221,399,284,1488,788,1399,201,87,451,371,351,110,68,273,180,702,61,100,39,307,74,77,98,144,200,270,78,71,60,202,22,76,416,60
Cloud infrastructure engineer,5283,1582,1009,2845,3655,3162,2836,3170,80,1911,214,220,733,2358,903,1124,161,305,1511,531,346,200,130,304,247,1122,54,131,46,283,134,104,118,441,312,545,57,76,105,172,19,59,148,55
Data or business analyst,3201,961,563,1664,1848,1931,987,2383,113,876,581,519,175,754,502,704,193,160,271,211,168,69,50,160,146,634,99,64,32,154,56,73,75,108,109,164,73,80,58,94,27,77,288,56
Designer,3764,1234,952,2708,2904,1583,1081,2258,54,1139,158,311,259,1400,794,1269,176,83,327,341,344,78,59,273,171,660,74,77,37,262,62,70,82,126,201,212,73,79,58,157,33,70,345,56
Scientist,1762,318,723,680,718,1348,755,671,261,432,451,124,257,295,583,242,350,85,180,125,84,49,44,183,105,199,52,79,54,86,54,86,56,57,106,98,179,58,46,66,8,38,119,34
Product manager,2514,826,569,1594,1850,1139,831,1604,61,764,155,219,205,945,500,762,118,74,331,247,206,86,54,165,119,403,52,64,36,234,69,66,77,103,126,210,59,58,56,142,17,63,292,44
"Senior Executive (C-Suite, VP, etc.)",1805,528,391,1124,1364,834,696,1146,64,495,123,128,210,737,358,522,76,71,301,185,170,130,70,152,91,276,40,68,36,186,74,63,84,93,113,221,49,50,61,118,15,53,176,45
System administrator,4908,1492,1170,3126,3511,2728,2526,3251,86,1614,245,446,572,1628,1154,1879,203,132,879,423,333,175,115,411,396,1192,56,139,54,276,90,136,101,267,370,480,97,84,79,173,34,81,342,82
Blockchain,1302,296,367,711,958,667,422,606,48,431,95,67,331,653,336,324,79,75,297,197,149,75,53,124,69,169,38,84,44,124,47,50,387,64,81,121,29,51,41,84,17,35,52,30
Marketing or sales professional,518,137,118,347,365,229,160,303,34,153,60,68,49,139,104,209,47,38,73,69,58,32,32,57,48,100,38,30,29,61,32,36,41,32,41,65,29,55,34,49,22,36,55,32
Security professional,1928,620,620,1124,1325,1165,1051,1167,45,704,97,161,336,685,632,649,92,89,469,210,141,95,79,308,207,508,38,92,41,140,56,81,83,141,169,238,50,56,55,109,16,47,118,53
